id,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00770100000076,,,,,,,,,,,,,,,,,,,,,,71.1808405923575,71.49233489200132,71.46113904496121,71.31753944663245,71.16282457454167,70.95762971414369,71.19744397118032,71.58383832430259,,
00780100000077,,,,,,,,,,,,,,,,,,,,,,11.84636396988608,11.977681922400086,12.388019839340027,12.47630238957016,12.64106116399291,12.974463347283576,13.281670218657167,13.140504048891707,,
00790100000078,,,,,,,,,,,,,,,,,,,,,,16.97464386800471,16.510282020560116,16.188539365849014,16.212995296782033,16.148005044779357,15.764743626258326,15.27598906327835,15.119334485750079,,
00800100000079,,,,,,,,,,,,,,,,,,,,,,9.016315527986055,9.016764495458457,9.10095512362168,9.172023595707529,9.140434224202203,9.164331632507583,9.075691175693876,9.233929852429698,,
00810104000080,,,,,,,,,,,,,,,,,,,,,,3855.5708672993997,3855.7831830392,3891.8122983224007,3922.2512144237016,3908.7458494369002,3918.962678896401,3881.066333865801,3948.717919905901,,
00820100000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00830100000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00840100000083,,,,,,,,2.0,2.0,3.0,3.0,5.0,7.0,9.0,12.0,16.0,20.0,24.0,29.0,34.0,39.0,43.0,48.0,53.0,58.0,62.0,66.0,69.0,73.0,76.0,
00850100000084,,,,,,,,1.0,1.0,2.0,5.0,9.0,17.0,25.0,37.0,48.0,56.0,48.0,58.0,68.0,74.0,79.0,81.0,80.0,81.0,82.0,84.0,83.0,83.0,82.0,
00860104000085,25525588.05,28914260.0,32364767.2,35097698.129999995,35590712.7,37720436.1,41002604.61000001,43011453.75,45555975.72,48669609.76,51531396.12,55808015.1,59152611.71,62947175.12,66316898.769999996,70214986.72999999,73841788.52,77989014.81,81622319.29999998,88181711.63000003,94951794.95,99622793.35,103989079.95000002,108203706.41000004,112216487.32,115939312.06000002,119719882.84,122759822.81999996,126127136.22000001,126935292.96999997,
00870100000086,10.611687556990393,10.584418811538255,10.572858033651466,10.56129991262821,10.588480646522175,10.58412333183477,10.590405250582682,10.561031231909393,10.557831899974872,10.531378403585943,10.558742605011622,10.579259414035294,10.613542962901487,10.626770229048168,10.539712482228177,10.547671360991671,10.596876537883466,10.608731339917771,10.685570245655951,10.632235492242089,10.65061348176742,10.662778773955809,10.688487141991112,10.697383516474144,10.707616493435953,10.705072321930958,10.67196856105694,10.685722620316644,10.705182368322584,10.693414736969618,
00880104000087,0.24514784248637161,0.2408031451208158,0.2371166332758025,0.23346208365337912,0.23076793274726823,0.22732687005097538,0.22442446389093068,0.22087157084667594,0.21802923747353084,0.21482341844883046,0.21261839088906268,0.21029841462663107,0.20802907200775023,0.20522700415682424,0.20245357265481098,0.19980310675937937,0.19812877974070012,0.19568819721220002,0.1944645840190715,0.19241836212929997,0.19039255245701983,0.18840416796921758,0.18658072325994116,0.1847078370098985,0.18296268985149425,0.18101401487874638,0.1789280482273285,0.17751998433699104,0.17637054844137265,,
00890104000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00010100000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
